rep,trial,column,sigma
30,3,delta_f_mhz_b05,0.11512429093959313
30,3,delta_f_mhz_b06,0.14059134020742847
30,3,delta_f_mhz_b07,0.03981673159246895
30,3,delta_f_mhz_b08,0.05407750515307644
30,3,delta_Bx_uT,1.253995574205624
30,3,delta_By_uT,4.580901437908383
30,3,delta_Bz_uT,1.2447553419913286
30,3,delta_B_mag_uT,3.1729415847775813
40,1,peak_01,0.5542747776094663
40,1,peak_02,0.5598059613826156
40,1,peak_03,0.5467918825870696
40,1,peak_04,0.5558931339465195
40,1,peak_05,0.5451754660425683
40,1,peak_06,0.5507446044405221
40,1,peak_07,0.5620416372881323
40,1,peak_08,0.5522347934440386
40,1,peak_09,0.5432162987870285
40,1,peak_10,0.5517925297980789
40,1,peak_11,0.5608745532162763
40,1,peak_12,0.5726123037551434
40,1,peak_13,0.5790899035642249
40,1,peak_14,0.5791697244352405
40,1,peak_15,0.5822241379335891
40,1,peak_16,0.5728950552918771
40,1,delta_f_mhz_b01,0.0609385170927771
40,1,delta_f_mhz_b02,0.041927662773525616
40,1,delta_f_mhz_b03,0.13149351538841927
40,1,delta_f_mhz_b04,0.13622117934459138
40,1,delta_f_mhz_b05,0.16574687442503327
40,1,delta_f_mhz_b06,0.18692779752244484
40,1,delta_f_mhz_b07,0.04522638133652423
40,1,delta_f_mhz_b08,0.06811791362973556
40,1,delta_Bx_uT,1.3712171577643637
40,1,delta_By_uT,3.6961508583728673
40,1,delta_Bz_uT,1.2519680653479286
40,1,delta_B_mag_uT,2.938495128762716
40,2,peak_01,0.5168887061483294
40,2,peak_02,0.5355682359401446
40,2,peak_03,0.5204063581795728
40,2,peak_04,0.5027016906466971
40,2,peak_05,0.4989711662906073
40,2,peak_06,0.5014234537816079
40,2,peak_07,0.5208116331813596
40,2,peak_08,0.5443704754455929
40,2,peak_09,0.5591207215282384
40,2,peak_10,0.5746628117272643
40,2,peak_11,0.5591687018062165
40,2,peak_12,0.5231030371549155
40,2,peak_13,0.4999222561667641
40,2,peak_14,0.49199306503280427
40,2,peak_15,0.5024116987300101
40,2,peak_16,0.5018359274194334
40,2,delta_f_mhz_b01,0.0611987154189718
40,2,delta_f_mhz_b02,0.040749536801795994
40,2,delta_f_mhz_b03,0.14395976396893273
40,2,delta_f_mhz_b04,0.15445215643413274
40,2,delta_f_mhz_b05,0.1462792374358903
40,2,delta_f_mhz_b06,0.16895793819812516
40,2,delta_f_mhz_b07,0.047627473451540885
40,2,delta_f_mhz_b08,0.06393330574639261
40,2,delta_Bx_uT,1.3773817492427143
40,2,delta_By_uT,4.568493983427895
40,2,delta_Bz_uT,1.4470858951284757
40,2,delta_B_mag_uT,3.071110704941868
40,3,peak_01,0.4956145318407915
40,3,peak_02,0.4873689509977362
40,3,peak_03,0.48628150080179966
40,3,peak_04,0.4751616957721965
