batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_raw,peak_01_ref_raw,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_raw,peak_02_ref_raw,peak_02_spike_sig,peak_02_spike_ref,z_minus,z_plus,lockin_signal,f0_mhz,delta_f_mhz,peak_shift_kHz,delta_f_linear_mhz,peak_shift_linear_kHz,B_shift_nT,B_shift_linear_nT
198,20.41391397942789,1785869714.804204,0.012865209020674229,-5587.240029648196,-5571.3291729070515,2930.2169026906186,-5595.979020081304,-5571.3291729070515,True,False,-5626.852205275545,-5623.616405844056,2936.2169004017996,-5626.852205275545,-5623.616405844056,False,False,-1.002855845750152,-1.0005753947634348,0.002280450986717142,,,,-0.24052072313332812,-240.52072313332812,,-8582.66925254525
199,20.52301510440884,1785869714.912042,0.01033162500243634,-5587.964819512791,-5572.710953021364,2930.2169026906186,-5587.964819512791,-5572.710953021364,False,False,-5627.829493841122,-5623.380578903934,2936.2169004017996,-5627.829493841122,-5623.380578903934,False,False,-1.00273724343861,-1.000791145979676,0.0019460974589340374,2930.6184328303675,-2.598468675145341,-2598.468675145341,-0.20525622819221623,-205.25622819221624,-92722.9758473216,-7324.301605488732
200,20.61942320840899,1785869715.008268,0.009983916999772191,-5587.240029648196,-5564.060179723079,2930.2169026906186,-5579.004632148425,-5564.060179723079,True,False,-5617.463650395819,-5613.624620228016,2936.2169004017996,-5617.463650395819,-5613.624620228016,False,False,-1.004165995545769,-1.000683877249998,0.003482118295770942,,,,-0.3672613949665165,-367.2613949665165,,-13105.245324240524
201,20.716656312462874,1785869715.105528,0.010041124885901809,-5587.586809609682,-5575.2099336736255,2930.2169026906186,-5587.586809609682,-5575.2099336736255,False,False,-5622.756577620197,-5613.663865880124,2936.2169004017996,-5622.756577620197,-5613.663865880124,False,False,-1.0022199838361783,-1.0016197463826324,0.000600237453545871,2932.659784532544,-0.5571169729687426,-557.1169729687426,-0.06330745419200924,-63.30745419200924,-19879.994753380768,-2259.044183271811
202,20.812431791971903,1785869715.201208,0.009857915923930705,-5585.0613243879325,-5573.752303084024,2930.2169026906186,-5585.0613243879325,-5573.752303084024,False,False,-5623.608301494635,-5622.011955558271,2936.2169004017996,-5623.608301494635,-5622.011955558271,False,False,-1.0020289780903344,-1.0002839456673132,0.0017450324230212644,,,,-0.18404976152565228,-184.0497615256523,,-6567.576417558245
203,20.908472749928478,1785869715.297487,0.010323000024072826,-5580.0272732830035,-5569.878054222577,2930.2169026906186,-5580.0272732830035,-5569.878054222577,False,False,-5623.416771097594,-5625.12806339212,2936.2169004017996,-5623.416771097594,-5625.12806339212,False,False,-1.0018221618070673,-0.9996957771849387,0.002126384622128552,,,,-0.2242712384317512,-224.27123843175121,,-8002.8275204021975
204,21.007437854481395,1785869715.397418,0.012224374921061099,-5587.240029648196,-5571.3291729070515,2930.2169026906186,-5573.647776385365,-5563.283710303513,True,True,-5618.472899410092,-5612.434738820797,2936.2169004017996,-5618.472899410092,-5612.434738820797,False,False,-1.002855845750152,-1.0010758540402314,0.001779991709920603,2931.355911259218,-1.8609902462949321,-1860.9902462949321,-0.18773694139236613,-187.73694139236613,-66407.01706733272,-6699.148636610267
205,21.10449320898624,1785869715.493245,0.009802000015042722,-5585.680562093102,-5567.420513800164,2930.2169026906186,-5585.680562093102,-5567.420513800164,False,False,-5629.313305009628,-5614.739924198429,2936.2169004017996,-5629.313305009628,-5622.779515236727,False,True,-1.0032798040398916,-1.0025955575873406,0.0006842464525509406,2932.8117732169485,-0.4051282885643559,-405.1282885643559,-0.07216794069581534,-72.16794069581533,-14456.476183426916,-2575.2191227453372
206,21.226815770962276,1785869715.6156821,0.010041458066552877,-5588.089578812238,-5561.017483265581,2930.2169026906186,-5588.089578812238,-5561.017483265581,False,False,-5619.347012256625,-5618.710254607698,2936.2169004017996,-5619.347012256625,-5618.710254607698,False,False,-1.0048681910510304,-1.0001133280806578,0.004754862970372642,,,,-0.501498645090386,-501.498645090386,,-17895.327044332927
207,21.324890875432175,1785869715.713751,0.010020166984759271,-5581.284806064125,-5573.3719442491665,2930.2169026906186,-5581.284806064125,-5573.3719442491665,False,False,-5623.718595837026,-5615.277672158205,2936.2169004017996,-5623.718595837026,-5615.277672158205,False,False,-1.0014197620209295,-1.0015032068174783,-8.344479654875947e-05,2933.3187251208806,0.10182361536772078,101.82361536772078,0.008800979685291107,8.800979685291107,3633.4433117228364,314.0515160323689
