time_s,z_minus,z_plus,lockin_signal,f0_mhz,peak_shift_kHz,peak_shift_linear_kHz,B_shift_nT
17.70653654204216,-1.0033469833755435,-1.0012051938525617,0.0021417895229822,2931.2682263629326,-1948.675142580214,-225.8960038464496,-69535.93857337332
17.843478042050265,-1.0020049227533172,-1.0003332932188336,0.0016716295344836,,,-176.30790873689537,
17.949562792025972,-1.0027862699123826,-1.00179455930044,0.0009917106119425,2932.440490552027,-776.4109534859926,-104.59639558705103,-27705.21529710222
18.05818679201184,-1.0042108048008624,-1.0007014901727165,0.0035093146281461,,,-370.12981071742126,
18.167428229528017,-1.0029805195551007,-1.000152590358753,0.0028279291963477,,,-298.26362383456654,
18.272434646089096,-1.0027994396615854,-1.0000593530409874,0.0027400866205979,,,-288.99880737313515,
18.376773895986844,-1.0020974999193188,-0.9998751738310576,0.0022223260882611,,,-234.39025039345384,
18.482958500506356,-1.003733201463583,-1.0011452561600354,0.0025879453035475,2930.867849309222,-2349.0521962908133,-272.9523587502284,-83822.87311914121
18.591634792042896,-1.002979296244043,-1.000236667121662,0.0027426291223808,,,-289.26696677272304,
18.731010021525435,-1.0028623836450914,-1.0019721254665654,0.0008902581785259,2932.5635217363338,-653.3797691790824,-93.89613814186758,-23315.007464283553
18.840499646554235,-1.0031597999300197,-1.0007264756205558,0.0024333243094636,2929.5449245549457,-3671.976950567114,-256.6443768969632,-131029.72275789015
18.946610959013924,-1.0023135769384668,-1.001095139065716,0.0012184378727506,2931.834225178028,-1382.67632748466,-128.5094746408043,-49339.0068328811
19.062244188040495,-1.0031720494433547,-1.0019876071652494,0.0011844422781053,2932.3944945687304,-822.4069367824995,-124.92393605432817,-29346.522151816283
19.172281667008065,-1.0035761183885894,-1.0002014525424825,0.0033746658461069,,,-355.92831170966633,
19.28471195907332,-1.0011213579471776,-1.0004766687358897,0.0006446892112881,2931.461893607653,-1755.0078978597412,-67.99581144195069,-62625.17477375611
19.392408062529285,-1.0038337018545374,-1.0014269047771498,0.0024067970773875,2931.3601318925257,-1856.7696129871365,-253.84653161161168,-66256.40925589268
19.501172208518256,-1.0014317612477883,-1.0015523663910166,-0.0001206051432283,2933.3609335414094,144.03203589654368,12.720306830363729,5139.595914093051
