file,sample,batch_kind,n,lockin_mean,shift_khz_mean,shift_nt_mean
twopoint_lockin_live_20260806_145144.csv,7,real,7,-0.001627606499254128,51.072912238072114,1822.4704623919538
twopoint_lockin_live_20260806_145144.csv,8,stale,7,0.003468731985047714,-102.4623699823884,-3656.2364395656723
twopoint_lockin_live_20260806_145144.csv,8,real,7,0.003468731985047714,-102.4623699823884,-3656.2364395656723
twopoint_lockin_live_20260806_145144.csv,9,stale,7,-0.0006954727103480401,22.990903009728946,820.4004785087405
twopoint_lockin_live_20260806_145144.csv,9,real,7,-0.0006954727103480401,22.990903009728946,820.4004785087405
twopoint_lockin_live_20260806_145144.csv,10,stale,7,-0.0013421304342448573,42.47249286965657,1515.575680475898
twopoint_lockin_live_20260806_145144.csv,10,real,7,-0.0013421304342448573,42.47249286965657,1515.575680475898
twopoint_lockin_live_20260806_145144.csv,11,stale,7,-0.0022880061919148286,70.96850070875307,2532.418666455648
twopoint_lockin_live_20260806_145144.csv,11,real,7,-0.0022880061919148286,70.96850070875307,2532.418666455648
twopoint_lockin_live_20260806_145144.csv,12,stale,7,8.038125688420023e-05,-0.38292865153021644,-13.664311002362847
twopoint_lockin_live_20260806_145144.csv,12,real,7,8.038125688420023e-05,-0.38292865153021644,-13.664311002362847
twopoint_lockin_live_20260806_145144.csv,13,stale,7,0.0003521963121899713,-8.571788429327443,-305.8731240839082
twopoint_lockin_live_20260806_145144.csv,13,real,7,0.0003521963121899713,-8.571788429327443,-305.8731240839082
twopoint_lockin_live_20260806_145144.csv,14,stale,7,0.00012352910909437157,-1.682826153766671,-60.04946309472849
twopoint_lockin_live_20260806_145144.csv,14,real,7,0.00012352910909437157,-1.682826153766671,-60.04946309472849
twopoint_lockin_live_20260806_145144.csv,15,stale,7,0.006906252588695287,-206.02313182059493,-7351.6675642518885
twopoint_lockin_live_20260806_145144.csv,15,real,7,0.006906252588695287,-206.02313182059493,-7351.6675642518885
