batch,sample,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_01_ref,peak_01_ref_raw,peak_01_spike_ref,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,peak_02_ref,peak_02_ref_raw,peak_02_spike_ref,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
520,0,8.036499624955468,1785874183.661521,0.010811500018462539,-5285.557833249833,2806.827483148631,-5285.557833249833,False,-5277.125346349658,-5277.125346349658,False,-5286.863106003926,2812.827480859813,-5286.863106003926,False,-5277.739048706231,-5277.739048706231,False,-1.001597931894115,-1.0017287814371822,-0.00013084954306719077,-0.01820794590716852,-18.207945907168522,2809.9262890153386,-0.6497268736500328
521,0,8.051817625469994,1785874183.681272,0.01968133298214525,-5284.1313710064305,2806.827483148631,-5284.1313710064305,False,-5276.732394806052,-5276.732394806052,False,-5286.734118414705,2812.827480859813,-5286.734118414705,False,-5279.070083894692,-5279.070083894692,False,-1.0014021890152438,-1.001451777377117,-4.958836187318738e-05,-0.027303632607651316,-27.303632607651316,2809.9171933286384,-0.9742946263078546
522,0,8.06697877147235,1785874183.691843,0.010503374971449375,-5282.9604918862815,2806.827483148631,-5282.9604918862815,False,-5276.732394806052,-5276.732394806052,False,-5286.734118414705,2812.827480859813,-5286.734118414705,False,-5279.070083894692,-5279.070083894692,False,-1.0011802942833257,-1.001451777377117,-0.00027148309379132485,-0.002466620243820012,-2.466620243820012,2809.942030341002,-0.08801813601984057
523,0,8.082146812987048,1785874183.711616,0.019709792104549706,-5290.10011415419,2806.827483148631,-5290.10011415419,False,-5284.931833071758,-5284.931833071758,False,-5279.962712510847,2812.827480859813,-5279.962712510847,False,-5284.458641365811,-5284.458641365811,False,-1.0009779276716666,-0.9991492167580289,0.0018287109136376767,-0.23754450640203034,-237.54450640203035,2809.7069524548438,-8.476466828505222
524,0,8.097604166949168,1785874183.722757,0.011069915955886245,-5288.265157988601,2806.827483148631,-5288.265157988601,False,-5284.931833071758,-5284.931833071758,False,-5279.962712510847,2812.827480859813,-5279.962712510847,False,-5284.458641365811,-5284.458641365811,False,-1.0006307224051565,-0.9991492167580289,0.0014815056471275678,-0.19868129670545964,-198.68129670545963,2809.7458156645403,-7.089683724859394
525,0,8.113023896468803,1785874183.742448,0.019606875022873282,-5292.635913917908,2806.827483148631,-5292.635913917908,False,-5283.701085461487,-5283.701085461487,False,-5286.579097291528,2812.827480859813,-5286.579097291528,False,-5272.467646789132,-5272.467646789132,False,-1.0016910170185451,-1.0026764413644131,-0.0009854243458680134,0.07744590202110585,77.44590202110585,2810.021942863267,2.763556309631239
526,0,8.128260187455453,1785874183.753226,0.010698874946683645,-5292.823220477056,2806.827483148631,-5292.823220477056,False,-5283.701085461487,-5283.701085461487,False,-5286.579097291528,2812.827480859813,-5286.579097291528,False,-5272.467646789132,-5272.467646789132,False,-1.001726466896598,-1.0026764413644131,-0.0009499744678151956,0.07347794364785805,73.47794364785805,2810.017974904894,2.621964874673781
527,0,8.143555104441475,1785874183.773055,0.01974304101895541,-5289.147005080459,2806.827483148631,-5289.147005080459,False,-5283.975588412353,-5283.975588412353,False,-5283.869938643785,2812.827480859813,-5283.869938643785,False,-5272.259918058821,-5272.259918058821,False,-1.0009786980620134,-1.0022020956412252,-0.001223397579211749,0.10408260532508434,104.08260532508434,2810.048579566571,3.714052430955051
528,0,8.159032688010484,1785874183.784132,0.01094754203222692,-5289.947984095491,2806.827483148631,-5289.947984095491,False,-5283.975588412353,-5283.975588412353,False,-5283.869938643785,2812.827480859813,-5283.869938643785,False,-5272.259918058821,-5272.259918058821,False,-1.0011302844956806,-1.0022020956412252,-0.0010718111455445545,0.08711530693708028,87.11530693708028,2810.031612268183,3.1085964507950425
529,0,8.174365854531061,1785874183.803741,0.01952212501782924,-5290.164222562131,2806.827483148631,-5290.164222562131,False,-5277.322982600457,-5277.322982600457,False,-5288.928231699781,2812.827480859813,-5288.928231699781,False,-5277.179515103836,-5277.179515103836,False,-1.0024332867258667,-1.0022263249833208,0.00020696174254597466,-0.05601967313876094,-56.019673138760936,2809.888477288107,-1.9989891927904988
