batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_freq_mhz,peak_01_raw,peak_01_spike_sig,peak_02,peak_02_freq_mhz,peak_02_raw,peak_02_spike_sig,z_minus,z_plus,lockin_signal,delta_f_mhz,peak_shift_kHz,f_new_mhz,B_shift_uT
1169,12.196553228946868,1785872557.284367,0.009339291951619089,-5274.868368126662,2806.913354404411,-5274.868368126662,False,-5272.5785845279215,2813.913351734123,-5272.5785845279215,False,-1.007730494908065,-1.0072930461229666,0.00043744878509843765,-0.07794083159100122,-77.94083159100123,2810.4330005372653,-2.7812172277690985
1170,12.20616647892166,1785872557.29421,0.009800791973248124,-5279.202732524375,2806.913354404411,-5279.202732524375,False,-5278.177863190391,2813.913351734123,-5278.177863190391,False,-1.0085585480223405,-1.0083627531685022,0.00019579485383824924,-0.052576886376736374,-52.576886376736375,2810.4583644824797,-1.876137823891535
1171,12.216678770433646,1785872557.305395,0.011146959033794701,-5269.946164073724,2806.913354404411,-5269.946164073724,False,-5269.573666595348,2813.913351734123,-5269.573666595348,False,-1.0067901387171356,-1.0067189754118095,7.116330532608295e-05,-0.039495585559709834,-39.49558555970983,2810.471445783297,-1.40934861403475
1172,12.228002624411602,1785872557.316896,0.011422332958318293,-5266.417833236544,2806.913354404411,-5266.417833236544,False,-5274.5547574655375,2813.913351734123,-5274.5547574655375,False,-1.0061160732556664,-1.0076705815595817,-0.0015545083039152363,0.13113456069181792,131.1345606918179,2810.6420759295484,4.6793662821802
1173,12.239264207950328,1785872557.327826,0.010837084031663835,-5275.012521013541,2806.913354404411,-5275.012521013541,False,-5282.43702356573,2813.913351734123,-5282.43702356573,False,-1.007758034412352,-1.0091764390263083,-0.001418404613956259,0.11684914634918143,116.84914634918144,2810.6277905152056,4.1696098468877185
1174,12.250184061937034,1785872557.3387809,0.01091279205866158,-5269.858133386313,2806.913354404411,-5269.858133386313,False,-5269.431576856068,2813.913351734123,-5269.431576856068,False,-1.0067733210068155,-1.0066918300589225,8.149094789300371e-05,-0.04057957272637359,-40.579572726373584,2810.47036179613,-1.4480292865534394
1175,12.260876999469474,1785872557.349217,0.010399583028629422,-5271.69112999358,2806.913354404411,-5271.69112999358,False,-5271.211715621848,2813.913351734123,-5271.211715621848,False,-1.0071235035041395,-1.0070319143973838,9.15891067556629e-05,-0.04163947333225968,-41.63947333225968,2810.469301895524,-1.4858504614708707
1176,12.27136954094749,1785872557.3597682,0.010514500085264444,-5274.532504508359,2806.913354404411,-5274.532504508359,False,-5279.438376073601,2813.913351734123,-5279.438376073601,False,-1.0076663302717797,-1.008603566243443,-0.0009372359716632861,0.06634578802061043,66.34578802061043,2810.577287156877,2.3674631751573805
1177,12.282045999483671,1785872557.37057,0.010766832972876728,-5262.618392578781,2806.913354404411,-5262.618392578781,False,-5272.5989210502175,2813.913351734123,-5272.5989210502175,False,-1.0053902139645499,-1.0072969312879125,-0.0019067173233626722,0.16810234444211047,168.10234444211048,2810.6790437132986,5.998513575582018
1178,12.293070916435681,1785872557.381818,0.011213833000510931,-5273.3692728550905,2806.913354404411,-5273.3692728550905,False,-5274.76592444295,2813.913351734123,-5274.76592444295,False,-1.0074441021652503,-1.0077109236852624,-0.0002668215200121171,-0.004020770196988331,-4.020770196988331,2810.5069205986597,-0.1434759562156841
